review_description,polarity,Sentiment
one price staff extra amount check cancel care refund back amount wallet original mode payment next time try cant wallet money care pay separately theres point well do second experience service rude even ref escalate matter,0.012500000000000002,Positive
bad name railway never different could confirm take extra money escalate issue railway department voucher give multiple one less link reply link doesnt work specify,-0.17333333333333328,Negative
worst experience year give bite discount want cancel reschedule flight get response go wrong select full cancellation option response last one day one talk call well support year frequent traveler really disappoint,-0.14166666666666664,Negative
become desperate cannot traditional android clear capability new dismiss option sometimes sometimes dont stick phone actually click edit provide link response blank page try multiple time chrome browser opera also try open doesnt work,-0.04545454545454545,Negative
check need room stay quite bad lower check old fresh design issue unable add review gallery turn white screen,-0.15999999999999998,Negative
poor facility care flight get refund bank account put wallet try access wallet issue money doesnt load doesnt allow access money wallet initiate refund disappoint long lot money also care available pathetic,-0.2625,Negative
like go wrong check even get good say part lack support service extend lead unfulfilled alternative never recent incident pledge reimbursement upon another promise never full,0.006249999999999992,Positive
dont give refund back tray talk amaze dont support system search several time contact number yet never bus strongly suggest please dont plan travel totally lose,0.10833333333333332,Positive
cheat poor support ticket confirm policy double loot say ticket confirm return money half return form credit one confirm money return also charge ticket worst case ticket confirm money back havent return money,-0.31333333333333335,Negative
ticket option provide choose cancel ticket departure get money back support cancellation tell possible dont give able ill delete account never site,0.0,Positive
option talk real person bad experience change cannot do sorry message try change get response team even try call care number feel,-0.33333333333333326,Negative
long time face issue previous extend weekend trouble find didnt give bill people deny would situation properly property lose money half vacation ruin search stranger town never,-0.11666666666666667,Negative
worst experience due medical emergency refund till didnt receive support bad dont even know lose money dont think get back please dont waste money time nonsense,-0.33749999999999997,Negative
worst experience change train get neither care number provide response change recommend,-1.0,Negative
horrible experience extremely high ticket experience make days advance confirm bus get message say reservation late bus dont even try talk support talk wall better option,-0.15999999999999998,Negative
ever feature lock amount flight soon price flight get message flight seat available refund pay amount advance reserve seat sell someone funny flight available price difference,0.35000000000000003,Positive
worse ever design keep ridiculous amount revenue every discount essentially worthless apply cash way soon price reason try multiple time wouldnt back amount thats display final soon payment server price,-0.2555555555555556,Negative
absolutely horrible service even premium member agree error fix promise never call back dont little bite shame send update move business get reply receive unique link address issue folder horrible,-0.3625,Negative
flight refund back return assure theyll look close issue without theres way contact also respond mail care number sham consider send legal notice dont respond soon,0.0,Positive
without confirm management first property room available make wait almost hour tell could find replacement nearby time waste cab cost waste airport worst experience,-0.15,Negative
start team get dignity flight ticket payment page couple since brother credit card number offer try next page fare anyhow ticket check fare show less talk service also cant hopeless beware people,-0.08333333333333333,Negative
domestic flight due reason travel read cancelation policy cancel clearly cancel per head total get heartbreak acceptable,-0.006249999999999995,Negative
support option available contact call anyone report issue call center lack support stay good offer guess price pay lack support greater issue,0.375,Positive
worst experience proper support chat bot set cannot connect care executive bad experience stay directly since long disappoint,-0.32999999999999996,Negative
application less recently month room stay family experience prove terribly awkward one precise later day even turn higher dont rely,-0.01944444444444443,Negative
