review_description,polarity,Sentiment
easy navigate brilliant easy communication particularly like translation option abroad ability cancel prior stay excellent never know might happen weve catch time save cancellation option satisfactory,0.48888888888888893,Positive
best place stay days last know talk filter really select affordable least dodgy property genius level get discount almost every always please add filter accessibility suggest filter recent check noise poor maintenance,0.08333333333333331,Positive
without problem issue issue trip good luck support get ped around different every interaction repeat time different people extremely please sort support system,0.14375,Positive
pretty decent part suppose would really love see button along bottom kind view moment save click send new message intuitive bunch extra get area otherwise,0.2755050505050505,Positive
terrible costumer service spend like days costumer service want cancel reservation cant literally cant find cancelation option reservation didnt help tell like confirmation look option thats try say,-1.0,Negative
work work fine support worst deal make try speak human phone option live chat option message function even reply different little ability help fault entirely fault overall good experience expect wrong,-0.04344696969696969,Negative
wrong cant seem make reservation see available uninstalled change experience also make sure date latest version problematic since latest update update give feedback option also click contact service sign,0.27999999999999997,Positive
always find look reasonable price flight never name spell wrongly genius level discount commission live service last still ask service dreadful trip never,-0.23272727272727273,Negative
worst experience theres hide service charge top total price theres reason total price suppose already show much pay upon check tell theres additional service charge include total price imagine inconvenience people would enough money spend really property really good give,0.06666666666666667,Positive
excellent well issue never contact help service poor design help service hard contact issue hell company establish easy way contact issue amount clue easy way get help would review get help,0.23500000000000001,Positive
defective price people reservation one person multiple client must pay extra also screen show defect support support absolutely less rely defective data take chat call ask way expensive outside home country update support still less,-0.13888888888888887,Negative
hard believe choice terrible service go wrong get zero help send message special offer never work fluctuate fully disclose check price suddenly go cancellation inconsistent,-0.2869047619047619,Negative
purely functionality complaint service chat never work modify check send correct site needlessly difficult cancel modify outside fine cache,-0.03380952380952381,Negative
horrible call center experience say confirm fine get reservation say didnt room available even though advance take two hour phone still dont resolution place stay update end help find place stay hang,-0.07083333333333333,Negative
application entire service well build issue property virtually support available find contact easy task doesnt keep offer another property pay cost twice never answer money back overall work work worse cannot rate,0.07222222222222223,Positive
worst experience deal company would recommend anyone completely save international flight credit company despite care away rightful flight credit way get away least case contract service flight team resolve throughout,-0.3,Negative
experience subsequently company terrible pick self transfer international airport option viable connection impossible make buy second ticket get destination,-0.3333333333333333,Negative
good advise dont bother service unreachable worst part even advance still end tell available holiday entrance ticket travel dont unless youd like get holiday plan ruin,0.033333333333333326,Positive
well put stay multiple time session hard get settle easy cancel picture one place door pool empty knock like better travel,0.10833333333333332,Positive
like see set search look property interest back back search instead property scroll youve already,0.0,Positive
several time contact want fix ill edit review wont dont several time every time run rent avail directly enterprise get car literally last minute rent place usually always make right last time place dump clean try get clean fee back flat,0.02867063492063492,Positive
disappoint experience confirmation full payment advance upon arrival inform available add frustration strict refund policy without accommodation pocket midnight make worse service available assist issue promptly finally service resolve issue,0.15,Positive
terrible service platform good get confirm reservation service slow answer unhelpful end reservation without approval spend close hour line embarrass compensation incompetence cover less percent cost night fail provide alternative accommodation quality,-0.2533333333333333,Negative
loyal collect genius convince best possible loyalty last couple days barely even better car mobile cant even try grab new one show middle loyal take enough,0.2353030303030303,Positive
nice experience sometimes find difficult deduct moment pay easier precise come discount moment pay besides,0.16666666666666666,Positive
fake resort also service pathetic worst reach destination property owner tell allow last two close word repeat several time suggestion provide worst ever trust make trip worst part know unknown time time,-0.575,Negative
good disable currently wheel chair send confirm disable room available say yes turn cant get one annoy forward shame really reply already answer,0.325,Positive
way photograph thats even worst part middle family manager say dont even pay advance money try care body even try multiple time worst ever would recommend everybody reliable,-0.5,Negative
experience good show different pay property receive message pay advance otherwise reserve room also late check possible soon late check hour even though stay room still,0.019999999999999997,Positive
go ridiculous place find dirty uncomfortable didnt stay minute immediately another refund get response owner neither longer platform,-0.4777777777777778,Negative
feedback vacation destination several past genius reward reduce price taxi ride idiocy airport next clearly still country per last genius,-0.075,Negative
rent car family travel abu free cancelation cancel receive car rental amount bank statement one refund try speak team time initially would tell send deduction request disconnect without conversation still credit card without,0.2,Positive
doesnt show actual many add ons actually list higher price one get directly contact invoice generation process slow never plan travel,0.09166666666666666,Positive
super helpful enable plan perfect getaway plane one make deal nice free breakfast love,0.5666666666666667,Positive
easy handle different pinpoint map find handy region zone familiar find time better come select,0.38166666666666665,Positive
get pay visa card get location theyre ask unit number floor property owner contact number provide cannot reach bogus unit doesnt exist yeah scam,0.0,Positive
easy wait arrival writ review taxis good idea cancelation policy fair opinion unexpected come play make one miss taxi airport one get regardless cancelation call must make service order get refund thats hell know flight departure nobody,0.48333333333333334,Positive
wish zero star unfortunately terrible experience support like never trust would ask slight change language different agent immediately property price property,-0.3888888888888889,Negative
literally worst experience ever travel room nights get make pay cash price keep card almost threaten throw call fiasco stay far away,-0.45,Negative
easy friendly helpful get free although could perfect free reservation,0.5216666666666667,Positive
try make reservation cancel due property yet wont let cancel claim theres technical dont cancel within hour half ill full price room anyway able,0.009722222222222224,Positive
try payment instant message confirm although money balance fund do within days get money back although talk service daily ask daily also wast time need wait know fate refund,0.0,Positive
full annoy part phone service call phone service even dont bother help point improvement rest give,0.35,Positive
worst experience do reservation half amount confirmation location response owner phone switch service horrible many time funny also call number property owner tell owner number switch irresponsible maintain alternate owner lose money dont brand name thy wont take responsibly,-0.17380952380952386,Negative
issue reservation owner property lie state support ask refund say cannot help since property doesnt want refund would even cannot provide bite support support support provide shame,0.0,Positive
worse every update file complaint request refund kind text interaction service disappear unable find anywhere within never follow status kind problem however regularly every week new set location currency every search new country display local currency even though log,0.0303030303030303,Positive
bug search sett price range reappear fake new price wrong select room example room set range room select check go back various,-0.17272727272727273,Negative
please check lot longer exist still take money pay advance close long time pay double stay around keep take money help also refund credit never stay away,-0.025,Negative
acknowledge validity refund request due triple decline issue refund amount reflect bank statement request unreasonable south bank account situate would accept exchange rate conversion verify lose,-0.125,Negative
happy main service rent accommodation totally felt scum car rental thus recommend car rental service merely scum money time receive support involve legally able dispute refund support several like wrong,0.04583333333333334,Positive
another far far away actual place wrong location horrible experience time previously good time mislead misguide thus moment stay far far away desire place waste money,-0.06666666666666668,Negative
make every week fine latest update whenever scroll back property list search show lot property scroll many always back list key word usually search property also doesnt work load please get fix,0.16666666666666669,Positive
property web browser save easy access price web even tho log account return home browser price still lower even another new search obviously,0.1898989898989899,Positive
less one issue resolve timely manner love get anxiety able make much easier way faster,0.25833333333333336,Positive
good great however issue phone come read room want property appear background colour unreadable case time expect issue resolve soon,0.75,Positive
freak new year terrible experience property condition neither host service leave property wait several fault didnt check hurry experience dont get pretty sure dont see please contact service blah blah,-0.022727272727272728,Negative
great stupidly decide sudden cant moment do trip immediately read service since never assume read service make sense learn,3.700743415417188e-17,Positive
beware change feature since sick even confirm room available room available another one across town via support next morn min phone support reimburse drive original spend another min talk front desk phone support finally get nightmare support absolute worst,-0.042410714285714274,Negative
somehow since several days ago automatically log since last last night thats totally weird even latest version try log answer go wrong error side please try happen time,-0.08333333333333333,Negative
give certain like safety deposit box mandatory look check sometimes phone check find cant ensure room exist upon arrival need better need standard dont worry,0.2380952380952381,Positive
pay room additional top totally night needle say talk service bad experience wouldnt recommend anyone pay stay shouldnt get room already reach worst service ever receive,-0.29999999999999993,Negative
worst service try resolve flight ticket wrong date month still receive help end another flight ticket return call service center international later find local number could provide initially never site need help never get one worst experience life,-0.325,Negative
entire week trip around however assign rat primarily due provide refund reservation mistakenly make different country bear name intend location regrettably experience lead reconsider future,-0.03125,Negative
poor first experience service resolve make payment also time time neither ready give invoice ask give lose money poor,-0.08750000000000001,Negative
agree refund later disaster pathetic flight flight luggage per person confirmation mail luggage try contact difficult get executive mail reply totally disappoint send also clearly luggage per person worst experience application,-0.39999999999999997,Negative
quick easy straight forward first time absolutely would definitely recommend anyone travel right map long place plus even country intend may know exactly however helpful definitely soon,0.1902380952380952,Positive
try log error message send phone come select another option get code phone wrong see clearly number right try change number another one previous number magic loop number,0.04380952380952381,Positive
pathetic experience subject cancellation flight return flight mean communication phone international call lot ask query mail reply communication live chat long response call flight didnt send cancellation policy amount,-0.2321338383838384,Negative
zero service home confirm reservation later figure get money didnt edit course first contact support idea solution literally double price one,0.08333333333333333,Positive
every never find reservation make reservation person day always expensive give least address correct list,-0.4,Negative
list good get twice sudden one service pretty much non existence keep reply different agent quick reply offer help part offer half disappoint,0.18809523809523807,Positive
get chat chat get message one day credit card verification would do legit even link provide didnt seem suspicious get send notification ask pay large sum money luckily debit card didnt lose money aware chat,0.26587301587301587,Positive
regal resort support less representative say absolutely right look two past update invoice havent receive two well careful would highly suggest,-0.014190476190476193,Negative
good spectrum good quick service response easy much better web lose star time figure cant check whether property wallet confirmation page probably work progress kudos great,0.5777777777777778,Positive
always easy straight forward price true display say different price pay price,0.24583333333333332,Positive
awfully long time arrange refund property due state arrival never start less matter less one star avoid respect refund say thats refund dont relate,-0.12708333333333333,Negative
theres lot actually exist platform polite support staff offer find could find without anywhere stay place street view try contact host make sure place several well host answer trust take fraudulent place still,0.16666666666666666,Positive
tell dont pay cash remote area try reach message response try find contact number intentionally hide successful reach representative say cancel refund try charge cancelation wow wow week didnt get money reply,0.2125,Positive
many many business become recent support eternal loop send back support chat function send fake payment link pretend property search especially japan show correctly press trust,0.08333333333333333,Positive
one help fake one contact answer query one live cancel renovation want cancel allow cancel due error try multiple time term write dont cancel per cancellation policy,-0.12215909090909091,Negative
let credit expire wallet essentially theft put wallet tell end month lose thats steal tell wont get back put price tag long time also team help wouldnt give back,-0.0125,Negative
encounter support astonishment response get response list could continue list property communication strongly advise believe crucial choose platform better communication accountability list,0.3111111111111111,Positive
love think great honest person always post honest feedback place good place positive feedback place bad let know fair stay surf parade resort gold coast place filthy service bad fair review place find dishonest,0.15979020979020986,Positive
make different lead believe would pay arrival well bank till next thats almost dont think ill sorry never issue,-0.25,Negative
good cant handle dark mode want filter search background font color cant read option set mode like cant search properly,0.18333333333333332,Positive
response sorry didnt help see original though separate bed selection many wrong include select provide button hide independently apply appear reject help manually narrow list keep hide dark mode wrong color thank,-0.121875,Negative
worst experience first inform cancellation get top send link alternative another country conclusion support untrustworthy reliable,-0.08333333333333333,Negative
usually annoy issue begin new update whenever scroll list back top list automatically please get fix impossible,-0.056060606060606054,Negative
lower rate try doesnt work take payment reservation although already card wait refund via web higher price ill stick,-0.125,Negative
way display scroll view list back old layout edit layout previous view update thank,-0.022222222222222216,Negative
like scam let partial payment confirm actual even multiple cancel stay unknown night dont even care number provide international even send issue keep send ask call,-0.04,Negative
two night stay premiere inn say reservation make pay two night stay confirmation claim scam take money true since option pay arrival choose try number available site contact busy,0.2833333333333333,Positive
easy prefer site rather convenient area doesnt ask deposit top full payment stay like would recommend flight better,0.4458333333333333,Positive
take money one month payment second doesnt accept dumb wait money double currency exchange compensation never pay advance choose let pay arrival service make international call solve problem thank,-0.09375,Negative
room tell front desk available ask cancellation order receive refund get cancellation charge even get refund worst service ever promise hear attorney soon,-0.3,Negative
recent experience support one property leave bad taste poor service end night stay accommodation condition will help cant refund even though condition money directly platform property possible way property agree refund get refund absurd rule,-0.25,Negative
helpful genuine need update cancellation money return policy case cancellation good return money back also limit one month extend one year,0.3666666666666667,Positive
